ano_categoria;ativos_e_indigenas;somente_ativos
Até 2000;514389;540010
2000.0;23126;23789
2001.0;23489;24141
2002.0;23777;24371
2003.0;23778;24316
2004.0;24379;24845
2005.0;25095;25531
2006.0;25344;25699
2007.0;24327;24674
2008.0;25272;25574
2009.0;25053;25302
2010.0;24794;25020
2011.0;25808;25990
2012.0;25979;26195
2013.0;24566;24776
2014.0;25572;25790
2015.0;25994;26239
2016.0;24981;25183
2017.0;25512;25718
2018.0;25805;26045
2019.0;25482;25655
2020.0;24602;24765
2021.0;26133;26278
2022.0;23039;23166
2023.0;22979;23075
2024.0;20219;20315
2025.0;5689;5711
