dsei;codigo_dsei;ano_nascimento;frequencia_ativos;frequencia_ativos_indigenas
ALAGOAS E SERGIPE;1;1901.0;1;1
ALAGOAS E SERGIPE;1;1905.0;1;1
ALAGOAS E SERGIPE;1;1906.0;2;2
ALAGOAS E SERGIPE;1;1908.0;1;1
ALAGOAS E SERGIPE;1;1910.0;4;4
ALAGOAS E SERGIPE;1;1911.0;1;1
ALAGOAS E SERGIPE;1;1912.0;7;7
ALAGOAS E SERGIPE;1;1914.0;4;4
ALAGOAS E SERGIPE;1;1915.0;6;5
ALAGOAS E SERGIPE;1;1916.0;3;2
ALAGOAS E SERGIPE;1;1917.0;12;11
ALAGOAS E SERGIPE;1;1918.0;7;7
ALAGOAS E SERGIPE;1;1919.0;8;8
ALAGOAS E SERGIPE;1;1920.0;6;5
ALAGOAS E SERGIPE;1;1921.0;4;3
ALAGOAS E SERGIPE;1;1922.0;14;13
ALAGOAS E SERGIPE;1;1923.0;10;9
ALAGOAS E SERGIPE;1;1924.0;4;4
ALAGOAS E SERGIPE;1;1925.0;7;6
ALAGOAS E SERGIPE;1;1926.0;12;11
ALAGOAS E SERGIPE;1;1927.0;8;6
ALAGOAS E SERGIPE;1;1928.0;8;8
ALAGOAS E SERGIPE;1;1929.0;12;11
ALAGOAS E SERGIPE;1;1930.0;15;15
ALAGOAS E SERGIPE;1;1931.0;20;15
ALAGOAS E SERGIPE;1;1932.0;10;9
ALAGOAS E SERGIPE;1;1933.0;25;22
ALAGOAS E SERGIPE;1;1934.0;24;21
ALAGOAS E SERGIPE;1;1935.0;28;23
ALAGOAS E SERGIPE;1;1936.0;42;39
ALAGOAS E SERGIPE;1;1937.0;25;20
ALAGOAS E SERGIPE;1;1938.0;43;30
ALAGOAS E SERGIPE;1;1939.0;42;34
ALAGOAS E SERGIPE;1;1940.0;30;23
ALAGOAS E SERGIPE;1;1941.0;25;19
ALAGOAS E SERGIPE;1;1942.0;47;39
ALAGOAS E SERGIPE;1;1943.0;51;44
ALAGOAS E SERGIPE;1;1944.0;64;54
ALAGOAS E SERGIPE;1;1945.0;57;50
ALAGOAS E SERGIPE;1;1946.0;54;49
ALAGOAS E SERGIPE;1;1947.0;64;52
ALAGOAS E SERGIPE;1;1948.0;81;69
ALAGOAS E SERGIPE;1;1949.0;67;57
ALAGOAS E SERGIPE;1;1950.0;67;50
ALAGOAS E SERGIPE;1;1951.0;61;48
ALAGOAS E SERGIPE;1;1952.0;76;59
ALAGOAS E SERGIPE;1;1953.0;78;65
ALAGOAS E SERGIPE;1;1954.0;80;66
ALAGOAS E SERGIPE;1;1955.0;80;65
ALAGOAS E SERGIPE;1;1956.0;79;66
ALAGOAS E SERGIPE;1;1957.0;88;68
ALAGOAS E SERGIPE;1;1958.0;100;81
