ano_obito;frequencia_simples;percentual;frequencia_acumulada;percentual_acumulado
Antes de 2000;573;0.83;573;0.83
2000;813;1.18;1386;2.01
2001;985;1.43;2371;3.44
2002;1105;1.6;3476;5.04
2003;1451;2.1;4927;7.15
2004;1722;2.5;6649;9.64
2005;1859;2.7;8508;12.34
2006;1962;2.85;10470;15.18
2007;2140;3.1;12610;18.29
2008;2267;3.29;14877;21.58
2009;2672;3.88;17549;25.45
2010;2822;4.09;20371;29.54
2011;2725;3.95;23096;33.5
2012;2891;4.19;25987;37.69
2013;2575;3.73;28562;41.42
2014;2706;3.92;31268;45.35
2015;2984;4.33;34252;49.68
2016;3066;4.45;37318;54.12
2017;3157;4.58;40475;58.7
2018;3186;4.62;43661;63.32
2019;3422;4.96;47083;68.28
2020;4121;5.98;51204;74.26
2021;4095;5.94;55299;80.2
2022;4071;5.9;59370;86.1
2023;4038;5.86;63408;91.96
2024;3870;5.61;67278;97.57
2025;1674;2.43;68952;100.0
