dsei;codigo_dsei;ano_obito;ativos;indigenas;percentual_ativos;frequencia_acumulada_ativos;percentual_acumulado_ativos
ALAGOAS E SERGIPE;1;Antes de 2000;21;21;2.01;21;2.01
ALAGOAS E SERGIPE;1;2000;7;7;0.67;28;2.67
ALAGOAS E SERGIPE;1;2001;11;10;1.05;39;3.72
ALAGOAS E SERGIPE;1;2002;9;8;0.86;48;4.58
ALAGOAS E SERGIPE;1;2003;6;6;0.57;54;5.16
ALAGOAS E SERGIPE;1;2004;4;4;0.38;58;5.54
ALAGOAS E SERGIPE;1;2005;9;9;0.86;67;6.4
ALAGOAS E SERGIPE;1;2006;13;13;1.24;80;7.64
ALAGOAS E SERGIPE;1;2007;27;26;2.58;107;10.22
ALAGOAS E SERGIPE;1;2008;51;49;4.87;158;15.09
ALAGOAS E SERGIPE;1;2009;41;38;3.92;199;19.01
ALAGOAS E SERGIPE;1;2010;54;47;5.16;253;24.16
ALAGOAS E SERGIPE;1;2011;46;41;4.39;299;28.56
ALAGOAS E SERGIPE;1;2012;42;35;4.01;341;32.57
ALAGOAS E SERGIPE;1;2013;41;36;3.92;382;36.49
ALAGOAS E SERGIPE;1;2014;56;49;5.35;438;41.83
ALAGOAS E SERGIPE;1;2015;61;56;5.83;499;47.66
ALAGOAS E SERGIPE;1;2016;57;51;5.44;556;53.1
ALAGOAS E SERGIPE;1;2017;52;40;4.97;608;58.07
ALAGOAS E SERGIPE;1;2018;55;46;5.25;663;63.32
ALAGOAS E SERGIPE;1;2019;53;46;5.06;716;68.39
ALAGOAS E SERGIPE;1;2020;68;65;6.49;784;74.88
ALAGOAS E SERGIPE;1;2021;60;47;5.73;844;80.61
ALAGOAS E SERGIPE;1;2022;73;68;6.97;917;87.58
ALAGOAS E SERGIPE;1;2023;57;48;5.44;974;93.03
ALAGOAS E SERGIPE;1;2024;52;44;4.97;1026;97.99
ALAGOAS E SERGIPE;1;2025;21;15;2.01;1047;100.0
ALTAMIRA;3;2000;21;21;4.61;21;4.61
ALTAMIRA;3;2001;17;17;3.73;38;8.33
ALTAMIRA;3;2002;12;12;2.63;50;10.96
ALTAMIRA;3;2003;14;14;3.07;64;14.04
ALTAMIRA;3;2004;18;18;3.95;82;17.98
ALTAMIRA;3;2005;18;18;3.95;100;21.93
ALTAMIRA;3;2006;9;9;1.97;109;23.9
ALTAMIRA;3;2007;13;13;2.85;122;26.75
ALTAMIRA;3;2008;19;18;4.17;141;30.92
ALTAMIRA;3;2009;19;15;4.17;160;35.09
ALTAMIRA;3;2010;23;23;5.04;183;40.13
ALTAMIRA;3;2011;21;21;4.61;204;44.74
ALTAMIRA;3;2012;17;17;3.73;221;48.46
ALTAMIRA;3;2013;16;16;3.51;237;51.97
ALTAMIRA;3;2014;24;24;5.26;261;57.24
ALTAMIRA;3;2015;22;22;4.82;283;62.06
ALTAMIRA;3;2016;24;24;5.26;307;67.32
ALTAMIRA;3;2017;23;22;5.04;330;72.37
ALTAMIRA;3;2018;13;11;2.85;343;75.22
ALTAMIRA;3;2019;12;11;2.63;355;77.85
ALTAMIRA;3;2020;18;17;3.95;373;81.8
ALTAMIRA;3;2021;14;13;3.07;387;84.87
ALTAMIRA;3;2022;18;17;3.95;405;88.82
ALTAMIRA;3;2023;27;27;5.92;432;94.74
ALTAMIRA;3;2024;15;13;3.29;447;98.03
ALTAMIRA;3;2025;9;9;1.97;456;100.0
ALTO RIO JURUÁ;4;Antes de 2000;10;10;0.95;10;0.95
ALTO RIO JURUÁ;4;2000;15;15;1.43;25;2.38
ALTO RIO JURUÁ;4;2001;7;7;0.67;32;3.04
ALTO RIO JURUÁ;4;2002;12;12;1.14;44;4.18
ALTO RIO JURUÁ;4;2003;22;22;2.09;66;6.27
ALTO RIO JURUÁ;4;2004;47;47;4.47;113;10.74
ALTO RIO JURUÁ;4;2005;34;34;3.23;147;13.97
ALTO RIO JURUÁ;4;2006;42;42;3.99;189;17.97
ALTO RIO JURUÁ;4;2007;33;33;3.14;222;21.1
ALTO RIO JURUÁ;4;2008;26;26;2.47;248;23.57
ALTO RIO JURUÁ;4;2009;49;48;4.66;297;28.23
ALTO RIO JURUÁ;4;2010;43;43;4.09;340;32.32
ALTO RIO JURUÁ;4;2011;48;48;4.56;388;36.88
ALTO RIO JURUÁ;4;2012;32;32;3.04;420;39.92
ALTO RIO JURUÁ;4;2013;42;42;3.99;462;43.92
ALTO RIO JURUÁ;4;2014;22;22;2.09;484;46.01
ALTO RIO JURUÁ;4;2015;21;21;2.0;505;48.0
ALTO RIO JURUÁ;4;2016;30;30;2.85;535;50.86
ALTO RIO JURUÁ;4;2017;47;47;4.47;582;55.32
ALTO RIO JURUÁ;4;2018;64;64;6.08;646;61.41
ALTO RIO JURUÁ;4;2019;72;72;6.84;718;68.25
ALTO RIO JURUÁ;4;2020;52;52;4.94;770;73.19
ALTO RIO JURUÁ;4;2021;64;64;6.08;834;79.28
ALTO RIO JURUÁ;4;2022;78;78;7.41;912;86.69
ALTO RIO JURUÁ;4;2023;74;74;7.03;986;93.73
ALTO RIO JURUÁ;4;2024;56;56;5.32;1042;99.05
ALTO RIO JURUÁ;4;2025;10;10;0.95;1052;100.0
ALTO RIO NEGRO;6;2001;1;1;0.04;1;0.04
ALTO RIO NEGRO;6;2005;2;2;0.08;3;0.12
ALTO RIO NEGRO;6;2006;16;16;0.66;19;0.79
ALTO RIO NEGRO;6;2007;42;42;1.74;61;2.52
ALTO RIO NEGRO;6;2008;47;47;1.94;108;4.46
