ano;ativos_e_indigenas;somente_ativos
2000;524798;550756
2001;547129;573716
2002;570042;597279
2003;592673;620456
2004;614997;643295
2005;637900;666620
2006;661367;690465
2007;684170;713590
2008;706381;736108
2009;729572;759547
2010;751550;781720
2011;773997;804368
2012;797207;827728
2013;819837;850557
2014;842171;873068
2015;865066;896147
2016;887730;919021
2017;909809;941245
2018;932000;963626
2019;954694;986450
2020;976140;1008037
2021;997289;1029257
2022;1018529;1050562
2023;1037230;1069271
2024;1054649;1086707
2025;1066760;1098799
2026;1066768;1098806
