ds_dsei_aldeia;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
ALAGOAS E SERGIPE;1;2000;9535;11480
ALAGOAS E SERGIPE;1;2001;9896;11887
ALAGOAS E SERGIPE;1;2002;10228;12266
ALAGOAS E SERGIPE;1;2003;10559;12634
ALAGOAS E SERGIPE;1;2004;10929;13030
ALAGOAS E SERGIPE;1;2005;11277;13401
ALAGOAS E SERGIPE;1;2006;11659;13803
ALAGOAS E SERGIPE;1;2007;12021;14179
ALAGOAS E SERGIPE;1;2008;12316;14488
ALAGOAS E SERGIPE;1;2009;12686;14864
ALAGOAS E SERGIPE;1;2010;12981;15157
ALAGOAS E SERGIPE;1;2011;13298;15473
ALAGOAS E SERGIPE;1;2012;13589;15758
ALAGOAS E SERGIPE;1;2013;13883;16053
ALAGOAS E SERGIPE;1;2014;14162;16332
ALAGOAS E SERGIPE;1;2015;14464;16629
ALAGOAS E SERGIPE;1;2016;14723;16887
ALAGOAS E SERGIPE;1;2017;15024;17179
ALAGOAS E SERGIPE;1;2018;15293;17442
ALAGOAS E SERGIPE;1;2019;15576;17719
ALAGOAS E SERGIPE;1;2020;15853;17995
ALAGOAS E SERGIPE;1;2021;16078;18213
ALAGOAS E SERGIPE;1;2022;16297;18425
ALAGOAS E SERGIPE;1;2023;16525;18646
ALAGOAS E SERGIPE;1;2024;16755;18869
ALAGOAS E SERGIPE;1;2025;16900;19003
ALAGOAS E SERGIPE;1;2026;16900;19003
AMAPÁ E NORTE DO PARÁ;2;2000;7012;7015
AMAPÁ E NORTE DO PARÁ;2;2001;7311;7314
AMAPÁ E NORTE DO PARÁ;2;2002;7657;7660
AMAPÁ E NORTE DO PARÁ;2;2003;7982;7985
AMAPÁ E NORTE DO PARÁ;2;2004;8261;8264
AMAPÁ E NORTE DO PARÁ;2;2005;8585;8588
AMAPÁ E NORTE DO PARÁ;2;2006;8892;8895
AMAPÁ E NORTE DO PARÁ;2;2007;9210;9213
AMAPÁ E NORTE DO PARÁ;2;2008;9528;9531
AMAPÁ E NORTE DO PARÁ;2;2009;9860;9863
AMAPÁ E NORTE DO PARÁ;2;2010;10184;10187
AMAPÁ E NORTE DO PARÁ;2;2011;10544;10547
AMAPÁ E NORTE DO PARÁ;2;2012;10877;10880
AMAPÁ E NORTE DO PARÁ;2;2013;11219;11222
AMAPÁ E NORTE DO PARÁ;2;2014;11595;11598
AMAPÁ E NORTE DO PARÁ;2;2015;11918;11921
AMAPÁ E NORTE DO PARÁ;2;2016;12265;12268
AMAPÁ E NORTE DO PARÁ;2;2017;12636;12639
AMAPÁ E NORTE DO PARÁ;2;2018;12971;12974
AMAPÁ E NORTE DO PARÁ;2;2019;13355;13358
AMAPÁ E NORTE DO PARÁ;2;2020;13700;13703
AMAPÁ E NORTE DO PARÁ;2;2021;14076;14079
AMAPÁ E NORTE DO PARÁ;2;2022;14435;14438
AMAPÁ E NORTE DO PARÁ;2;2023;14811;14813
AMAPÁ E NORTE DO PARÁ;2;2024;15114;15116
AMAPÁ E NORTE DO PARÁ;2;2025;15364;15366
AMAPÁ E NORTE DO PARÁ;2;2026;15364;15366
ALTAMIRA;3;2000;2038;2498
ALTAMIRA;3;2001;2120;2593
ALTAMIRA;3;2002;2223;2716
ALTAMIRA;3;2003;2334;2847
ALTAMIRA;3;2004;2434;2966
ALTAMIRA;3;2005;2532;3082
ALTAMIRA;3;2006;2657;3224
ALTAMIRA;3;2007;2801;3385
ALTAMIRA;3;2008;2912;3511
ALTAMIRA;3;2009;3056;3661
ALTAMIRA;3;2010;3185;3801
ALTAMIRA;3;2011;3319;3950
ALTAMIRA;3;2012;3453;4096
ALTAMIRA;3;2013;3608;4264
ALTAMIRA;3;2014;3770;4431
ALTAMIRA;3;2015;3944;4611
ALTAMIRA;3;2016;4121;4800
ALTAMIRA;3;2017;4272;4961
ALTAMIRA;3;2018;4410;5106
ALTAMIRA;3;2019;4563;5263
ALTAMIRA;3;2020;4701;5406
ALTAMIRA;3;2021;4862;5570
ALTAMIRA;3;2022;4986;5696
ALTAMIRA;3;2023;5103;5813
ALTAMIRA;3;2024;5224;5937
ALTAMIRA;3;2025;5296;6011
ALTAMIRA;3;2026;5296;6011
ALTO RIO JURUÁ;4;2000;9799;9932
ALTO RIO JURUÁ;4;2001;10307;10446
ALTO RIO JURUÁ;4;2002;10828;10976
ALTO RIO JURUÁ;4;2003;11384;11534
ALTO RIO JURUÁ;4;2004;11900;12057
ALTO RIO JURUÁ;4;2005;12444;12607
ALTO RIO JURUÁ;4;2006;13086;13255
ALTO RIO JURUÁ;4;2007;13657;13831
ALTO RIO JURUÁ;4;2008;14277;14456
ALTO RIO JURUÁ;4;2009;14899;15077
ALTO RIO JURUÁ;4;2010;15495;15673
ALTO RIO JURUÁ;4;2011;16107;16285
ALTO RIO JURUÁ;4;2012;16651;16829
ALTO RIO JURUÁ;4;2013;17219;17397
ALTO RIO JURUÁ;4;2014;17795;17975
ALTO RIO JURUÁ;4;2015;18325;18506
ALTO RIO JURUÁ;4;2016;18863;19044
ALTO RIO JURUÁ;4;2017;19469;19651
ALTO RIO JURUÁ;4;2018;20056;20238
ALTO RIO JURUÁ;4;2019;20618;20806
ALTO RIO JURUÁ;4;2020;21212;21401
ALTO RIO JURUÁ;4;2021;21955;22145
ALTO RIO JURUÁ;4;2022;22587;22782
ALTO RIO JURUÁ;4;2023;23204;23400
ALTO RIO JURUÁ;4;2024;23671;23868
ALTO RIO JURUÁ;4;2025;23889;24086
ALTO RIO JURUÁ;4;2026;23889;24086
ALTO RIO PURUS;5;2000;7666;8013
ALTO RIO PURUS;5;2001;8059;8420
ALTO RIO PURUS;5;2002;8446;8826
ALTO RIO PURUS;5;2003;8871;9263
ALTO RIO PURUS;5;2004;9283;9685
ALTO RIO PURUS;5;2005;9723;10134
ALTO RIO PURUS;5;2006;10136;10552
ALTO RIO PURUS;5;2007;10577;10999
ALTO RIO PURUS;5;2008;11046;11472
ALTO RIO PURUS;5;2009;11558;11989
ALTO RIO PURUS;5;2010;12009;12439
ALTO RIO PURUS;5;2011;12544;12978
ALTO RIO PURUS;5;2012;13020;13459
ALTO RIO PURUS;5;2013;13572;14017
ALTO RIO PURUS;5;2014;14097;14543
ALTO RIO PURUS;5;2015;14670;15120
ALTO RIO PURUS;5;2016;15204;15657
ALTO RIO PURUS;5;2017;15740;16201
ALTO RIO PURUS;5;2018;16208;16675
