ano;ativos_e_indigenas;somente_ativos
2000;562748;592408
2001;587385;617732
2002;612823;643884
2003;638126;669782
2004;663360;695571
2005;689313;721993
2006;715867;748987
2007;741841;775326
2008;767323;801155
2009;793904;828032
2010;819506;853873
2011;845630;880243
2012;872453;907261
2013;898568;933612
2014;924123;959391
2015;950463;985969
2016;976750;1012519
2017;1002365;1038329
2018;1028192;1064406
2019;1054506;1090927
2020;1080008;1116626
2021;1105629;1142396
2022;1131156;1168064
2023;1154016;1191027
2024;1175559;1212674
2025;1191296;1228476
2026;1191330;1228510
