ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
ALTO RIO SOLIMÕES;7;2000;40522;40926
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2000;12632;13164
KAIAPÓ DO MATO GROSSO;34;2000;3790;3837
MÉDIO RIO PURUS;21;2000;6018;6632
MARANHÃO;19;2000;24482;25448
VALE DO JAVARI;12;2000;3195;3207
POTIGUARA;25;2000;18065;21827
LESTE DE RORAIMA;15;2000;38329;39116
ALTO RIO NEGRO;6;2000;24714;25066
XINGU;32;2000;4034;4050
LITORAL SUL;35;2000;9919;10489
VILHENA;30;2000;4355;4798
MATO GROSSO DO SUL;20;2000;59624;60915
BAHIA;9;2000;31345;33869
TOCANTINS;29;2000;6869;7482
PERNAMBUCO;23;2000;46839;48802
ALTO RIO PURUS;5;2000;7867;8210
YANOMAMI;33;2000;13299;13300
CEARÁ;10;2000;24870;27037
XAVANTE;31;2000;10258;10267
CUIABÁ;26;2000;6074;6276
MANAUS;17;2000;24584;25946
KAIAPÓ DO PARÁ;13;2000;3017;3026
AMAPÁ E NORTE DO PARÁ;2;2000;7009;7012
PARINTINS;22;2000;8344;8548
ALTO RIO JURUÁ;4;2000;9677;9799
ARAGUAIA;8;2000;3047;3203
GUAMÁ-TOCANTINS;18;2000;13468;14522
RIO TAPAJÓS;27;2000;6253;6423
INTERIOR SUL;36;2000;36399;38098
PORTO VELHO;24;2000;7024;7593
MINAS GERAIS E ESPÍRITO SANTO;11;2000;12831;14206
ALTAMIRA;3;2000;2049;2502
ALAGOAS E SERGIPE;1;2000;12836;15107
ALTO RIO SOLIMÕES;7;2001;42336;42754
LESTE DE RORAIMA;15;2001;39945;40747
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2001;13256;13805
KAIAPÓ DO MATO GROSSO;34;2001;3999;4047
MÉDIO RIO PURUS;21;2001;6287;6924
MARANHÃO;19;2001;25708;26689
VALE DO JAVARI;12;2001;3349;3361
POTIGUARA;25;2001;18624;22438
ALTO RIO NEGRO;6;2001;25638;26000
INTERIOR SUL;36;2001;38199;39939
XINGU;32;2001;4228;4244
LITORAL SUL;35;2001;10465;11039
VILHENA;30;2001;4567;5019
MATO GROSSO DO SUL;20;2001;62340;63647
TOCANTINS;29;2001;7171;7795
BAHIA;9;2001;32500;35061
PERNAMBUCO;23;2001;48406;50410
ALTO RIO PURUS;5;2001;8285;8643
YANOMAMI;33;2001;14035;14036
CEARÁ;10;2001;25592;27815
XAVANTE;31;2001;10858;10867
CUIABÁ;26;2001;6323;6538
MANAUS;17;2001;25678;27079
KAIAPÓ DO PARÁ;13;2001;3199;3208
AMAPÁ E NORTE DO PARÁ;2;2001;7308;7311
PARINTINS;22;2001;8770;8977
ALTO RIO JURUÁ;4;2001;10179;10306
ARAGUAIA;8;2001;3173;3329
GUAMÁ-TOCANTINS;18;2001;14098;15184
RIO TAPAJÓS;27;2001;6581;6752
ALAGOAS E SERGIPE;1;2001;13304;15606
ALTAMIRA;3;2001;2144;2610
MINAS GERAIS E ESPÍRITO SANTO;11;2001;13417;14838
PORTO VELHO;24;2001;7346;7920
ALTO RIO SOLIMÕES;7;2002;44347;44776
POTIGUARA;25;2002;19187;23054
LESTE DE RORAIMA;15;2002;41731;42554
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2002;13944;14508
KAIAPÓ DO MATO GROSSO;34;2002;4185;4235
MÉDIO RIO PURUS;21;2002;6608;7264
MARANHÃO;19;2002;26948;27949
VALE DO JAVARI;12;2002;3521;3535
RIO TAPAJÓS;27;2002;6943;7117
INTERIOR SUL;36;2002;40022;41812
ALTO RIO NEGRO;6;2002;26527;26907
XINGU;32;2002;4418;4434
LITORAL SUL;35;2002;11000;11586
VILHENA;30;2002;4812;5273
MATO GROSSO DO SUL;20;2002;65197;66529
BAHIA;9;2002;33628;36226
TOCANTINS;29;2002;7515;8151
PERNAMBUCO;23;2002;49872;51903
ALTO RIO PURUS;5;2002;8702;9078
YANOMAMI;33;2002;14805;14806
XAVANTE;31;2002;11493;11502
CEARÁ;10;2002;26353;28611
CUIABÁ;26;2002;6579;6798
MANAUS;17;2002;26810;28254
KAIAPÓ DO PARÁ;13;2002;3355;3364
AMAPÁ E NORTE DO PARÁ;2;2002;7656;7659
PARINTINS;22;2002;9154;9365
ALTO RIO JURUÁ;4;2002;10699;10834
ARAGUAIA;8;2002;3307;3465
GUAMÁ-TOCANTINS;18;2002;14729;15844
MINAS GERAIS E ESPÍRITO SANTO;11;2002;13940;15400
ALTAMIRA;3;2002;2266;2752
PORTO VELHO;24;2002;7690;8275
ALAGOAS E SERGIPE;1;2002;13763;16107
ALTO RIO SOLIMÕES;7;2003;46214;46662
VALE DO JAVARI;12;2003;3695;3709
POTIGUARA;25;2003;19773;23679
LESTE DE RORAIMA;15;2003;43448;44286
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2003;14666;15244
KAIAPÓ DO MATO GROSSO;34;2003;4393;4443
MÉDIO RIO PURUS;21;2003;6938;7613
MARANHÃO;19;2003;28247;29267
GUAMÁ-TOCANTINS;18;2003;15348;16483
RIO TAPAJÓS;27;2003;7320;7497
INTERIOR SUL;36;2003;41758;43581
ALTO RIO NEGRO;6;2003;27497;27885
XINGU;32;2003;4613;4629
LITORAL SUL;35;2003;11538;12133
VILHENA;30;2003;5024;5499
MATO GROSSO DO SUL;20;2003;67967;69316
BAHIA;9;2003;34752;37383
TOCANTINS;29;2003;7852;8494
PERNAMBUCO;23;2003;51299;53353
ALTO RIO PURUS;5;2003;9149;9536
YANOMAMI;33;2003;15614;15615
CEARÁ;10;2003;27012;29320
XAVANTE;31;2003;12103;12112
CUIABÁ;26;2003;6813;7043
MANAUS;17;2003;27985;29472
KAIAPÓ DO PARÁ;13;2003;3516;3525
PARINTINS;22;2003;9596;9814
AMAPÁ E NORTE DO PARÁ;2;2003;7996;7999
ALTO RIO JURUÁ;4;2003;11263;11400
ARAGUAIA;8;2003;3452;3612
ALAGOAS E SERGIPE;1;2003;14216;16582
ALTAMIRA;3;2003;2393;2898
MINAS GERAIS E ESPÍRITO SANTO;11;2003;14470;15966
PORTO VELHO;24;2003;8056;8651
ALTO RIO SOLIMÕES;7;2004;48132;48593
MARANHÃO;19;2004;29471;30500
VALE DO JAVARI;12;2004;3866;3880
POTIGUARA;25;2004;20308;24249
LESTE DE RORAIMA;15;2004;45327;46179
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2004;15363;15958
KAIAPÓ DO MATO GROSSO;34;2004;4609;4660
MÉDIO RIO PURUS;21;2004;7278;7973
ARAGUAIA;8;2004;3599;3759
GUAMÁ-TOCANTINS;18;2004;16014;17176
RIO TAPAJÓS;27;2004;7676;7859
ALTO RIO NEGRO;6;2004;28507;28909
INTERIOR SUL;36;2004;43367;45228
XINGU;32;2004;4825;4841
LITORAL SUL;35;2004;12020;12619
VILHENA;30;2004;5294;5773
MATO GROSSO DO SUL;20;2004;70774;72140
BAHIA;9;2004;35866;38534
TOCANTINS;29;2004;8207;8861
PERNAMBUCO;23;2004;52628;54698
ALTO RIO PURUS;5;2004;9588;9985
YANOMAMI;33;2004;16529;16530
CEARÁ;10;2004;27616;29954
CUIABÁ;26;2004;7047;7285
XAVANTE;31;2004;12788;12797
MANAUS;17;2004;29096;30625
KAIAPÓ DO PARÁ;13;2004;3717;3726
AMAPÁ E NORTE DO PARÁ;2;2004;8302;8305
PARINTINS;22;2004;10024;10247
ALTO RIO JURUÁ;4;2004;11796;11939
MINAS GERAIS E ESPÍRITO SANTO;11;2004;14962;16488
ALTAMIRA;3;2004;2510;3034
PORTO VELHO;24;2004;8400;9004
ALAGOAS E SERGIPE;1;2004;14683;17069
MÉDIO RIO PURUS;21;2005;7596;8297
ALTO RIO SOLIMÕES;7;2005;50050;50527
MARANHÃO;19;2005;30744;31784
VALE DO JAVARI;12;2005;4049;4063
POTIGUARA;25;2005;20871;24832
LESTE DE RORAIMA;15;2005;47139;48004
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2005;16157;16766
KAIAPÓ DO MATO GROSSO;34;2005;4836;4888
ALTO RIO JURUÁ;4;2005;12371;12517
ARAGUAIA;8;2005;3738;3901
GUAMÁ-TOCANTINS;18;2005;16669;17854
INTERIOR SUL;36;2005;45104;46997
RIO TAPAJÓS;27;2005;8098;8287
ALTO RIO NEGRO;6;2005;29473;29881
XINGU;32;2005;5078;5094
LITORAL SUL;35;2005;12533;13141
VILHENA;30;2005;5536;6019
MATO GROSSO DO SUL;20;2005;73662;75049
BAHIA;9;2005;36971;39660
TOCANTINS;29;2005;8564;9222
PERNAMBUCO;23;2005;54009;56106
ALTO RIO PURUS;5;2005;10074;10477
YANOMAMI;33;2005;17433;17434
CEARÁ;10;2005;28290;30647
XAVANTE;31;2005;13454;13463
CUIABÁ;26;2005;7347;7595
KAIAPÓ DO PARÁ;13;2005;3914;3923
MANAUS;17;2005;30241;31804
AMAPÁ E NORTE DO PARÁ;2;2005;8649;8652
PARINTINS;22;2005;10430;10655
ALAGOAS E SERGIPE;1;2005;15131;17529
ALTAMIRA;3;2005;2623;3165
MINAS GERAIS E ESPÍRITO SANTO;11;2005;15485;17037
PORTO VELHO;24;2005;8799;9408
KAIAPÓ DO MATO GROSSO;34;2006;4994;5047
MÉDIO RIO PURUS;21;2006;7922;8635
MARANHÃO;19;2006;32102;33151
ALTO RIO SOLIMÕES;7;2006;51969;52457
VALE DO JAVARI;12;2006;4259;4273
POTIGUARA;25;2006;21465;25454
LESTE DE RORAIMA;15;2006;49028;49906
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2006;16961;17580
PARINTINS;22;2006;10915;11142
ALTO RIO JURUÁ;4;2006;13043;13194
ARAGUAIA;8;2006;3886;4053
GUAMÁ-TOCANTINS;18;2006;17342;18544
RIO TAPAJÓS;27;2006;8484;8680
INTERIOR SUL;36;2006;46772;48689
ALTO RIO NEGRO;6;2006;30500;30922
XINGU;32;2006;5304;5320
LITORAL SUL;35;2006;13082;13693
MATO GROSSO DO SUL;20;2006;76476;77876
VILHENA;30;2006;5758;6246
BAHIA;9;2006;38063;40771
TOCANTINS;29;2006;8950;9618
PERNAMBUCO;23;2006;55548;57667
ALTO RIO PURUS;5;2006;10545;10953
YANOMAMI;33;2006;18372;18373
CEARÁ;10;2006;29042;31416
XAVANTE;31;2006;14140;14149
CUIABÁ;26;2006;7620;7873
MANAUS;17;2006;31426;33024
KAIAPÓ DO PARÁ;13;2006;4128;4137
