ano;idade_cat;tp_sexo;st_indigena;co_dsei_aldeia;ds_dsei_aldeia;frequencia
2000;1 a 4 anos;F;N;1;ALAGOAS E SERGIPE;95
2000;1 a 4 anos;F;N;3;ALTAMIRA;27
2000;1 a 4 anos;F;N;4;ALTO RIO JURUÁ;16
2000;1 a 4 anos;F;N;5;ALTO RIO PURUS;26
2000;1 a 4 anos;F;N;6;ALTO RIO NEGRO;20
2000;1 a 4 anos;F;N;7;ALTO RIO SOLIMÕES;19
2000;1 a 4 anos;F;N;8;ARAGUAIA;2
2000;1 a 4 anos;F;N;9;BAHIA;96
2000;1 a 4 anos;F;N;10;CEARÁ;193
2000;1 a 4 anos;F;N;11;MINAS GERAIS E ESPÍRITO SANTO;89
2000;1 a 4 anos;F;N;12;VALE DO JAVARI;3
2000;1 a 4 anos;F;N;13;KAIAPÓ DO PARÁ;1
2000;1 a 4 anos;F;N;15;LESTE DE RORAIMA;36
2000;1 a 4 anos;F;N;17;MANAUS;85
2000;1 a 4 anos;F;N;18;GUAMÁ-TOCANTINS;75
2000;1 a 4 anos;F;N;19;MARANHÃO;25
2000;1 a 4 anos;F;N;20;MATO GROSSO DO SUL;52
2000;1 a 4 anos;F;N;21;MÉDIO RIO PURUS;46
2000;1 a 4 anos;F;N;22;PARINTINS;5
2000;1 a 4 anos;F;N;23;PERNAMBUCO;151
2000;1 a 4 anos;F;N;24;PORTO VELHO;16
2000;1 a 4 anos;F;N;25;POTIGUARA;151
2000;1 a 4 anos;F;N;26;CUIABÁ;15
2000;1 a 4 anos;F;N;27;RIO TAPAJÓS;4
2000;1 a 4 anos;F;N;28;MÉDIO RIO SOLIMÕES E AFLUENTES;26
2000;1 a 4 anos;F;N;29;TOCANTINS;11
2000;1 a 4 anos;F;N;30;VILHENA;9
2000;1 a 4 anos;F;N;32;XINGU;2
2000;1 a 4 anos;F;N;33;YANOMAMI;1
2000;1 a 4 anos;F;N;34;KAIAPÓ DO MATO GROSSO;2
2000;1 a 4 anos;F;N;35;LITORAL SUL;22
2000;1 a 4 anos;F;N;36;INTERIOR SUL;114
2000;1 a 4 anos;F;S;1;ALAGOAS E SERGIPE;506
